epoch,phase,train_loss,val_loss,train_acc,val_acc
1,frozen,1.7689205426598453,1.5945796447833231,0.3089399348129753,0.36561142147734327
2,frozen,1.6666862162562348,1.5633712031691804,0.3520875368617104,0.38392302917442583
3,frozen,1.6421189984234708,1.5477422043671896,0.3643489057892286,0.36561142147734327
4,frozen,1.621640387481365,1.5563538576933555,0.38142169796678566,0.382991930477964
5,frozen,1.6168675218034787,1.5504043142222825,0.38281856278131304,0.3823711980136561
6,frozen,1.5986713376193984,1.5265318156768637,0.3870867608257023,0.4106145251396648
7,frozen,1.5954654102053087,1.5440038234679911,0.38863883284184386,0.3891992551210428
8,frozen,1.6000315045858973,1.5260355544341861,0.38452584199906875,0.3926132836747362
9,frozen,1.5864855421268476,1.5190718370072964,0.39702002172900824,0.4031657355679702
10,frozen,1.5711436135491728,1.5125523932153286,0.3951575353096384,0.4137181874612042
11,frozen,1.5708267876547943,1.5259142883219088,0.3963991929225516,0.4028553693358163
12,frozen,1.5683760852449598,1.5206419130351365,0.4022194629830824,0.40720049658597146
13,frozen,1.5620375195405098,1.5272595188323197,0.40516839981375136,0.4075108628181254
14,frozen,1.559661302121737,1.5207131961204485,0.40679807543069996,0.42178770949720673
15,frozen,1.5341122790780217,1.4977681654569601,0.41929225516063945,0.4261328367473619
16,frozen,1.5339260937245056,1.5039101891603475,0.41409281390656527,0.41527001862197394
17,frozen,1.5343855821843957,1.503737729724929,0.4155672823218997,0.4165114835505897
18,frozen,1.5224095040109242,1.4938365052310225,0.4261213720316623,0.42178770949720673
19,frozen,1.5227900817123015,1.5082645266785673,0.42433648921309947,0.4056486654252017
20,frozen,1.511942372343545,1.5041151979116087,0.42751823684618967,0.4065797641216636
21,frozen,1.5247993452771376,1.5053767281833603,0.41766257954369085,0.41154562383612664
22,frozen,1.5130049050936654,1.5036106516603058,0.42619897563246933,0.4037864680322781
23,frozen,1.4910994961305044,1.4980065661287691,0.42930311966475243,0.4205462445685909
24,frozen,1.5030892936594642,1.491618648069679,0.421853173987273,0.419925512104283
25,frozen,1.4979306739549283,1.4905614405222962,0.4325624708986497,0.41402855369335817
26,frozen,1.4926093490009407,1.4955391559742905,0.43132081328573646,0.4106145251396648
27,frozen,1.4902007225487481,1.49212675284037,0.43318329970510633,0.41930477963997514
28,frozen,1.4875792752099708,1.4951589265127199,0.4340369393139842,0.4236499068901304
29,frozen,1.491368766473388,1.4928321665225748,0.43589942573335405,0.4233395406579764
30,frozen,1.4844199327436012,1.4919591426553378,0.43605463293496816,0.4239602731222843
31,frozen,1.4844096478108901,1.4851872635361276,0.4403228309793574,0.42830540037243947
32,frozen,1.4810481882791018,1.4906679962378417,0.43729629054788144,0.41527001862197394
33,frozen,1.4792380762566473,1.489533655618304,0.44071084898339286,0.42147734326505276
34,frozen,1.4756653267238593,1.4940055721964915,0.43683066894303896,0.41558038485412785
35,frozen,1.4738199909558933,1.491955604189157,0.4426509390035698,0.4208566108007449
36,frozen,1.4654624778884326,1.4900251003173033,0.4419525065963061,0.41899441340782123
37,frozen,1.4748858119248789,1.4917427866004551,0.4386155517616017,0.41899441340782123
38,frozen,1.4747386391111437,1.4860516940489235,0.4369858761446531,0.41868404717566726
39,frozen,1.4655425771134214,1.4848045790735644,0.4424957318019556,0.41930477963997514
