epoch,phase,train_loss,val_loss,train_acc,val_acc
1,frozen,1.643092760384018,1.486727342925258,0.347664131615707,0.3541278708876474
2,frozen,1.5389731066689143,1.4605034169464064,0.39337265249107556,0.4245810055865922
3,frozen,1.5078226138989266,1.4711503670276285,0.40136582337420457,0.41185599006828055
4,frozen,1.4865920623044835,1.471041642975763,0.4123079310880025,0.4130974549968963
5,frozen,1.4873761036705753,1.4634272174610254,0.4199130839670961,0.4447548106765984
6,frozen,1.4829960103621862,1.438736439047209,0.4223187955921155,0.4456859093730602
7,frozen,1.4718417124257552,1.4404375484313823,0.41905944435821824,0.43854748603351956
8,frozen,1.4710724696634943,1.451397423711643,0.4277510476486109,0.4264432029795158
9,frozen,1.4616971874799525,1.4416304322076392,0.42379326400744993,0.4404096834264432
10,frozen,1.4570872724083996,1.445295263047103,0.42984634487040196,0.4245810055865922
11,frozen,1.4343901885771406,1.4260492847988429,0.44234052460034146,0.43327126008690253
12,frozen,1.426789688597772,1.425867204633579,0.4467639298463449,0.4419615145872129
13,frozen,1.4265684513096186,1.4242682115843694,0.44854881266490765,0.44320297951582865
14,frozen,1.4170182407707157,1.4141042505562638,0.45072171348750584,0.4584109248913718
15,frozen,1.4174697669825715,1.426282185637973,0.448936830668943,0.4472377405338299
16,frozen,1.4048768385548631,1.4108850713992696,0.4544466863262455,0.4506517690875233
17,frozen,1.4226844796996743,1.403113756395881,0.44885922706813597,0.46089385474860334
18,frozen,1.4123749622513415,1.4075461353743617,0.45436908272543847,0.4553072625698324
19,frozen,1.4075692859510818,1.4144780777168156,0.448936830668943,0.45251396648044695
20,frozen,1.413375984377212,1.4067935242111234,0.4539810647214031,0.4435133457479826
21,frozen,1.4098650479971688,1.4036559180988428,0.45646437994722955,0.45034140285536933
22,frozen,1.3925535731964669,1.4000893103861793,0.4611205959956542,0.45685909373060213
23,frozen,1.3792934604226184,1.3983627927739897,0.4645351544311656,0.44816883923029177
24,frozen,1.3859768738643772,1.387764733670884,0.4702778208908893,0.4596523898199876
25,frozen,1.3938830866681184,1.397607351370586,0.4606549743908117,0.45313469894475483
26,frozen,1.3775400927435735,1.3843525392087181,0.47128666770138133,0.4692737430167598
27,frozen,1.385347632227265,1.4039079733031052,0.4655440012416576,0.45561762880198636
28,frozen,1.3768453300508046,1.3866304367096212,0.46942418128201147,0.4546865301055245
29,frozen,1.39203324766424,1.3894726812728513,0.46197423560453205,0.4686530105524519
30,frozen,1.375613587494317,1.4134851378879512,0.47082104609653885,0.4546865301055245
31,frozen,1.377967569392493,1.3855157696926985,0.470976253298153,0.46461824953445063
32,frozen,1.3697220040055955,1.3988159254868529,0.47089864969734596,0.45189323401613907
33,frozen,1.371403528947222,1.3898825842279,0.46888095607636193,0.45034140285536933
34,frozen,1.3701168010272946,1.388133404493184,0.4698121992860469,0.46244568590937307
35,frozen,1.3615364001697585,1.3844877086316185,0.47307155051994415,0.46368715083798884
36,frozen,1.3594849197534824,1.380706217257892,0.4741580009312432,0.468032278088144
37,frozen,1.3552202244787765,1.3827404767219358,0.47260592891510167,0.4702048417132216
38,frozen,1.3649232201226171,1.388558267289108,0.47679652335868383,0.4612042209807573
39,frozen,1.365910720468104,1.3851522667521945,0.4705106316933106,0.4643078833022967
40,frozen,1.3621995436484706,1.4008534131473374,0.47369237932640074,0.4549968963376785
41,frozen,1.3528237904004385,1.397799201813786,0.47446841533447154,0.462756052141527
42,frozen,1.3485612328445136,1.3812596577431828,0.48121992860468726,0.473308504034761
43,frozen,1.3526100119540878,1.3827077393055258,0.47679652335868383,0.4590316573556797
44,frozen,1.3553573011001334,1.3843030585479026,0.4777277665683688,0.46989447548106766
45,frozen,1.3508024081187682,1.3881439589181352,0.4826943970200217,0.46399751707014275
46,frozen,1.3644633195830598,1.3797040753006418,0.4774173521651405,0.46337678460583487
47,frozen,1.3594351579512791,1.3851441243359348,0.47470122613689275,0.46741154562383613
48,frozen,1.3601508934675823,1.3977762018206104,0.4777277665683688,0.462756052141527
49,frozen,1.3597471469606504,1.3963456809483723,0.47920223498370323,0.4581005586592179
50,frozen,1.3568153102890446,1.3851372622170854,0.47796057737079,0.45654872749844816
51,fine_tune,1.293326925892795,1.2603067163352564,0.5031041440322831,0.5176908752327747
52,fine_tune,1.1848033615637321,1.2246623865792945,0.5568058357907807,0.5307262569832403
53,fine_tune,1.1202879388306834,1.1796439032906854,0.5816389880490455,0.563935443823712
54,fine_tune,1.0603463513759026,1.1257350994591977,0.6088002483315226,0.5837988826815642
55,fine_tune,1.0304618732040758,1.1254418545225109,0.6228465000776036,0.585350713842334
56,fine_tune,0.9912169812611129,1.09428041910696,0.6351078690051218,0.595592799503414
57,fine_tune,0.9507888065405039,1.0875699382476522,0.655284805214962,0.6052141527001862
58,fine_tune,0.9222678044429573,1.076597655211673,0.6614930932795282,0.611421477343265
59,fine_tune,0.8957681183246616,1.0810957260563978,0.6765481918361012,0.612042209807573
60,fine_tune,0.8536443800895125,1.0709198932333956,0.6857054167313363,0.6260086902545003
61,fine_tune,0.829475982911132,1.0739809285773023,0.6926897408039733,0.6191806331471136
62,fine_tune,0.8012505312356708,1.0986936312148026,0.7092193077758808,0.6253879577901924
63,fine_tune,0.7715713576502299,1.1022019613092542,0.7147291634331833,0.6241464928615766
64,fine_tune,0.758651938485411,1.1070374024720906,0.7249728387397175,0.6021104903786468
65,fine_tune,0.6982022868574878,1.1118668024026408,0.7463138289616639,0.6198013656114215
66,fine_tune,0.6694662076021117,1.15160021361618,0.7519012882197734,0.6210428305400373
67,fine_tune,0.657242847547275,1.1309795897618204,0.7589632158932175,0.6322160148975792
68,fine_tune,0.6427424745901612,1.1504905489125954,0.7605928915101661,0.638423339540658
69,fine_tune,0.6159050248802661,1.1634252547921786,0.7730094676392985,0.6337678460583489
70,fine_tune,0.6076483913534975,1.1677576202106061,0.7781313052925656,0.6343885785226567
71,fine_tune,0.6033254146816456,1.1604391363079987,0.7810026385224275,0.6294227188081937
72,fine_tune,0.5839640957199416,1.17732816923486,0.7850380257643955,0.6346989447548107
73,fine_tune,0.5700546652194267,1.189724128487538,0.7921775570386466,0.6362507759155804
74,fine_tune,0.5780093621138218,1.1832600288846935,0.7885301878007139,0.6350093109869647
75,fine_tune,0.556807831857176,1.1823138246101152,0.7994722955145118,0.6374922408441962
76,fine_tune,0.5582314168936936,1.1844345923908597,0.794660872264473,0.6340782122905028
77,fine_tune,0.5551596572869834,1.2046468305262181,0.7944280614620518,0.632836747361887
78,fine_tune,0.5525486247890691,1.2032347313740621,0.7960577370790005,0.633147113594041
79,fine_tune,0.5464965076840999,1.201334684402731,0.7987738631072482,0.6350093109869647
80,fine_tune,0.5476586500088213,1.1990802059404455,0.8007915567282322,0.6346989447548107
81,fine_tune,0.5409083215971643,1.2101971313570095,0.7994722955145118,0.6378026070763501
82,fine_tune,0.5366236419665152,1.2170270087184705,0.8004811423250039,0.6374922408441962
83,fine_tune,0.536348096326736,1.2025292472466411,0.7991618811112836,0.6350093109869647
84,fine_tune,0.5340682777229089,1.208822531407106,0.8052925655750427,0.638112973308504
85,fine_tune,0.5420386952660422,1.2102855247862216,0.8025764395467949,0.6365611421477343
86,fine_tune,0.536147464724148,1.2103311106849353,0.8031196647524446,0.6399751707014277
87,fine_tune,0.5333207241407966,1.2138014812043258,0.8042061151637436,0.6365611421477343
88,fine_tune,0.5283368815042468,1.2148973658394178,0.8060686015831134,0.633147113594041
89,fine_tune,0.5368812246369257,1.219901409451078,0.802654043147602,0.6393544382371198
90,fine_tune,0.5372388362329458,1.2169887645136563,0.802654043147602,0.6350093109869647
91,fine_tune,0.5280669034776269,1.2164851768204767,0.8069998447927984,0.6334574798261949
92,fine_tune,0.5276081343069406,1.217248439566827,0.8043613223653577,0.6350093109869647
93,fine_tune,0.5367478970579899,1.2209575685338898,0.8013347819338817,0.638112973308504
94,fine_tune,0.5212036032919445,1.2150677654182296,0.8053701691758498,0.6371818746120422
95,fine_tune,0.5286881358805195,1.2122366715853885,0.803585286357287,0.632836747361887
96,fine_tune,0.5361434846732551,1.2241012563178586,0.8032748719540587,0.638423339540658
97,fine_tune,0.5268293049197453,1.207544491721709,0.8084743132081329,0.6374922408441962
98,fine_tune,0.5459520156184061,1.2124972472939708,0.7979202234983703,0.6365611421477343
99,fine_tune,0.5382099040598487,1.230452449924083,0.8014899891354959,0.6340782122905028
100,fine_tune,0.5362312450609499,1.2153022253757526,0.8019556107403384,0.6356300434512725
