epoch,phase,train_loss,val_loss,train_acc,val_acc
1,frozen,1.829694112806277,1.7538617276663648,0.2771246952281435,0.30395401497996866
2,frozen,1.7896504916616618,1.7483835583093628,0.29858934169278994,0.34210067932415955
3,frozen,1.7792643496733598,1.7425274437592224,0.30642633228840127,0.34331997909771816
4,frozen,1.770249690921495,1.7243097601940234,0.3092128178335075,0.35098414910294373
5,frozen,1.7708134045379995,1.7237815111901489,0.3092563566701498,0.3135342274865006
6,frozen,1.7650984675159276,1.703865214811138,0.30638279345175895,0.3403588225047901
7,frozen,1.7537670116813204,1.7249837172942966,0.30877742946708464,0.3083086570283923
8,frozen,1.7546346757686833,1.7034720268384067,0.3126959247648903,0.3232886256749695
9,frozen,1.7566655239382922,1.7189999081245015,0.3075148032044584,0.35499041978749346
10,frozen,1.7495927952673742,1.7027592870379715,0.3123911529083943,0.34593276432677234
11,frozen,1.7544831725123533,1.7194154769820715,0.30964820619993033,0.3492422922835743
12,frozen,1.751809523355583,1.7081740185724819,0.31012713340299547,0.3069151715728967
13,frozen,1.7524220166991953,1.7316052136448612,0.30990943921978403,0.3441909075074029
14,frozen,1.7472878063817092,1.7076528361192087,0.31334900731452453,0.32955931022469953
15,frozen,1.745135213763238,1.6847221931084755,0.30869035179380006,0.33931370841316844
16,fine_tune,1.6686740270353535,1.5806517978512729,0.35671368861024033,0.4021947395924055
17,fine_tune,1.582956777595552,1.5423339374637255,0.39798850574712646,0.422748650060965
18,fine_tune,1.5034193910401443,1.4708551530367904,0.42476489028213166,0.4288451489287581
19,fine_tune,1.4521391374314965,1.422374075888923,0.4465778474399164,0.4675143703187598
20,fine_tune,1.414369639433539,1.3817833371329362,0.4599007314524556,0.4760494687336701
21,fine_tune,1.3721000900338312,1.3715259997692284,0.4748780912574016,0.4819717819195262
22,fine_tune,1.3385113734727285,1.3568990206265779,0.48227969348659006,0.49451315101898624
23,fine_tune,1.2999908599816976,1.3571863525774686,0.49669104841518635,0.4861522382860129
24,fine_tune,1.2843532828411048,1.3570705322495862,0.500914315569488,0.498345236021599
25,fine_tune,1.2629645109093592,1.2849951293945645,0.5098833159177987,0.508099634210068
26,fine_tune,1.2396644271445665,1.2917902052475172,0.5198537095088819,0.5183765894443477
27,fine_tune,1.212614408647171,1.3231848954448424,0.5243382096830372,0.5046159205713291
28,fine_tune,1.1982102277842768,1.2912130857817992,0.5292580982236155,0.5312663299076816
29,fine_tune,1.1769629471894134,1.2928973003829984,0.5407523510971787,0.5241247169482669
30,fine_tune,1.1592931778577926,1.2779804940340806,0.5418408220132358,0.5281309876328166
